Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	203.917
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	272.593
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	51.5935
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	102.984
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	155.141
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	206.88
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	280.633
Initial Value:	1543
Best Value: 	1151

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	560.688
Initial Value:	1543
Best Value: 	1151

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	839.869
Initial Value:	1543
Best Value: 	1147

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	1118.69
Initial Value:	1543
Best Value: 	1147

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	142.785
Initial Value:	1543
Best Value: 	1171

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	286.043
Initial Value:	1543
Best Value: 	1153

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	425.66
Initial Value:	1543
Best Value: 	1147

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	570.515
Initial Value:	1543
Best Value: 	1139

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	96.9903
Initial Value:	1543
Best Value: 	1170

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	192.908
Initial Value:	1543
Best Value: 	1145

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	290.774
Initial Value:	1543
Best Value: 	1144

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	387.882
Initial Value:	1543
Best Value: 	1141

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	73.567
Initial Value:	1543
Best Value: 	1146

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	147.584
Initial Value:	1543
Best Value: 	1138

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	221.397
Initial Value:	1543
Best Value: 	1140

Filename:	./Data/rbg109a.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	294.561
Initial Value:	1543
Best Value: 	1158

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	709.722
Initial Value:	2205
Best Value: 	1850

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	1433.09
Initial Value:	2205
Best Value: 	1850

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	2118.62
Initial Value:	2205
Best Value: 	1849

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	2845.03
Initial Value:	2205
Best Value: 	1829

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	364.644
Initial Value:	2205
Best Value: 	1848

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	725.863
Initial Value:	2205
Best Value: 	1836

Filename:	./Data/rbg150a.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	1097.85
Initial Value:	2205
Best Value: 	1827

